iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
68,-110.54,588.7,0.00,16.6,-0.0021,0.1722,-0.4580,0.0055,0.030,281
69,-106.64,589.7,0.00,15.8,-0.0014,36.2979,-0.4643,0.0054,0.029,309
70,-123.09,590.8,0.00,19.9,-0.0016,53.9906,-0.4707,0.0049,0.023,337
71,-127.05,577.3,0.02,23.3,-0.0007,71.5770,-0.4910,0.0016,0.009,391
72,-149.22,578.8,0.02,28.6,-0.0003,200.4185,-0.4993,0.0022,0.005,418
73,-161.84,575.9,0.04,31.8,-0.0006,116.9326,-0.4623,0.0021,0.007,446
74,-166.17,577.7,0.04,32.7,-0.0013,69.7712,-0.4531,0.0044,0.019,473
75,-162.59,578.9,0.04,31.7,-0.0022,8.6446,-0.4652,0.0076,0.052,501
76,-104.03,600.0,0.00,16.0,-0.0013,9.9663,-0.4661,0.0050,0.022,22
77,-90.58,600.0,0.00,12.2,-0.0009,13.4408,-0.4477,0.0033,0.015,32
78,-109.77,600.0,0.00,17.0,0.0002,13.0472,-0.4465,0.0092,0.058,42
79,-90.17,597.8,0.08,13.1,-0.0007,7.9330,-0.4404,0.0058,0.028,54
80,-85.94,598.3,0.06,11.6,-0.0012,3.5564,-0.4414,0.0068,0.042,85
81,-79.54,572.2,0.10,10.8,0.0002,10.9126,-0.4371,0.0098,0.053,129
82,-99.20,575.7,0.08,15.4,-0.0013,61.7843,-0.4267,0.0058,0.026,139
83,-92.84,579.1,0.07,13.4,-0.0021,0.9172,-0.4168,0.0110,0.074,148
84,-88.96,581.2,0.06,12.1,-0.0036,0.2176,-0.4238,0.0093,0.057,158
85,-84.01,583.3,0.06,10.7,-0.0045,0.1913,-0.4327,0.0121,0.061,168
86,-80.91,584.6,0.05,9.9,-0.0006,1.4375,-0.4209,0.0026,0.009,194
87,-80.39,585.8,0.05,9.7,-0.0018,1.8519,-0.4164,0.0058,0.034,224
88,-76.81,587.0,0.04,8.8,-0.0021,0.1963,-0.4343,0.0066,0.024,254
89,-76.05,587.8,0.04,8.6,-0.0007,77.2492,-0.4709,0.0019,0.004,281
90,-92.05,588.8,0.04,12.9,-0.0011,42.5583,-0.4500,0.0043,0.023,307
91,-87.89,578.9,0.05,14.1,-0.0018,7.3947,-0.4444,0.0093,0.047,360
92,-94.20,580.3,0.05,15.6,-0.0005,48.4396,-0.4494,0.0014,0.004,387
93,-91.59,581.2,0.05,14.8,-0.0026,0.1706,-0.4616,0.0072,0.035,423
94,-91.14,580.2,0.06,14.7,-0.0005,16.7265,-0.4760,0.0032,0.013,453
95,-91.56,581.1,0.06,14.7,0.0001,10.0052,-0.4823,0.0023,0.008,479
96,-95.13,581.8,0.05,15.5,-0.0017,33.7276,-0.4779,0.0056,0.026,510
97,-289.95,600.0,0.00,63.7,-0.0014,66.8821,-0.5250,0.0045,0.017,33
