iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
294,-64.90,566.0,0.10,6.6,-0.0001,3.7923,-0.4385,0.0011,0.003,107
295,-78.77,570.8,0.12,10.3,-0.0003,63.6130,-0.4794,0.0022,0.003,120
296,-73.71,571.7,0.18,10.0,-0.0002,12.8723,-0.4533,0.0008,0.001,132
297,-71.35,575.2,0.16,9.0,-0.0022,0.5765,-0.4361,0.0063,0.040,144
298,-72.02,577.3,0.14,9.1,-0.0004,8.7258,-0.4587,0.0014,0.001,156
299,-77.14,579.1,0.13,10.4,-0.0007,14.7194,-0.4767,0.0036,0.013,168
300,-78.62,579.6,0.14,11.2,-0.0002,32.2645,-0.4587,0.0007,0.000,180
301,-73.37,572.8,0.17,10.2,-0.0011,4.0388,-0.4525,0.0056,0.025,224
302,-70.25,568.6,0.20,9.8,-0.0005,10.4268,-0.4662,0.0047,0.021,237
303,-69.24,570.3,0.19,9.4,-0.0007,0.6027,-0.4570,0.0036,0.011,249
304,-65.65,568.6,0.19,8.7,-0.0003,3.5399,-0.4635,0.0006,0.000,261
305,-64.84,570.6,0.18,8.7,-0.0009,10.5246,-0.4808,0.0048,0.027,274
306,-67.43,572.0,0.17,9.3,-0.0001,21.4548,-0.4944,0.0006,0.000,286
307,-65.25,571.1,0.18,8.8,-0.0009,3.5460,-0.4881,0.0038,0.020,299
308,-68.23,572.3,0.17,9.4,-0.0002,26.7049,-0.4973,0.0028,0.004,310
309,-65.99,572.9,0.17,9.0,-0.0004,3.9973,-0.4782,0.0019,0.002,322
310,-69.98,574.0,0.17,9.9,0.0000,51.5496,-0.4957,0.0013,0.002,335
311,-68.48,571.4,0.16,9.4,-0.0027,0.2012,-0.4903,0.0064,0.043,376
312,-67.35,572.4,0.15,9.1,0.0002,67.3084,-0.5281,0.0034,0.003,388
313,-71.00,573.7,0.15,9.9,-0.0013,1.4391,-0.5110,0.0045,0.025,400
314,-68.73,574.3,0.15,9.6,-0.0004,3.3135,-0.5247,0.0037,0.013,412
315,-66.80,573.3,0.17,9.5,-0.0001,19.0799,-0.5509,0.0012,0.000,425
316,-66.28,573.0,0.17,9.5,-0.0008,14.4209,-0.5375,0.0027,0.015,438
317,-64.86,572.7,0.17,9.2,-0.0005,3.4674,-0.5332,0.0016,0.006,450
318,-65.62,573.7,0.17,9.4,-0.0002,14.7037,-0.5301,0.0046,0.022,463
319,-64.33,573.1,0.17,9.1,0.0001,3.4473,-0.5341,0.0028,0.004,475
320,-63.02,571.2,0.18,9.0,-0.0012,26.1816,-0.5373,0.0046,0.031,489
321,-39.91,600.0,0.00,0.0,-0.0037,0.2345,-0.4605,0.0098,0.049,17
322,-44.11,591.3,0.17,4.2,-0.0003,12.9835,-0.4596,0.0054,0.034,29
323,-207.95,594.8,0.10,43.9,-0.0000,349.8047,-0.5056,0.0022,0.006,42
324,-163.22,584.7,0.14,33.6,-0.0004,22.9712,-0.4678,0.0005,0.000,53
325,-135.73,583.0,0.24,27.7,-0.0024,6.3964,-0.4812,0.0089,0.046,65
326,-114.31,580.1,0.24,22.6,-0.0013,3.7014,-0.4887,0.0056,0.021,78
327,-102.30,574.2,0.25,19.9,-0.0004,4.2906,-0.4961,0.0057,0.029,90
328,-88.70,576.2,0.29,17.0,0.0001,5.3151,-0.5091,0.0082,0.039,107
329,-80.27,566.3,0.34,15.8,-0.0004,24.7198,-0.5255,0.0005,0.000,116
330,-73.27,563.5,0.36,14.9,-0.0008,15.8485,-0.5263,0.0038,0.014,125
331,-71.56,557.0,0.33,14.0,-0.0009,7.0136,-0.4975,0.0032,0.010,154
332,-76.92,551.6,0.34,15.6,-0.0010,83.4974,-0.5204,0.0037,0.018,163
333,-79.51,554.7,0.32,15.9,-0.0005,19.1548,-0.4832,0.0023,0.003,172
334,-70.61,549.4,0.35,14.4,0.0001,21.3853,-0.5216,0.0017,0.001,181
335,-70.55,552.1,0.33,14.4,-0.0005,4.5390,-0.5142,0.0062,0.019,190
336,-70.51,553.8,0.34,14.5,-0.0000,29.5054,-0.5238,0.0049,0.025,199
337,-72.21,554.4,0.34,14.8,0.0009,27.0813,-0.5106,0.0070,0.031,208
338,-77.76,554.9,0.33,16.0,-0.0000,38.9385,-0.4882,0.0063,0.041,217
339,-80.64,554.0,0.33,16.7,-0.0009,30.4686,-0.4930,0.0014,0.001,226
340,-81.07,555.2,0.34,17.0,-0.0004,52.4495,-0.5112,0.0015,0.005,235
341,-85.94,554.9,0.34,17.5,-0.0007,68.8148,-0.5003,0.0016,0.007,265
342,-86.30,553.8,0.35,17.8,-0.0005,41.3279,-0.5095,0.0016,0.004,274
343,-87.68,555.5,0.33,17.9,-0.0024,16.9554,-0.4772,0.0056,0.030,283
344,-83.98,556.5,0.33,17.1,-0.0007,3.1703,-0.4874,0.0058,0.030,293
345,-81.65,555.2,0.36,17.0,-0.0004,33.4566,-0.5259,0.0031,0.007,304
346,-79.97,554.2,0.36,16.7,0.0000,20.3294,-0.5230,0.0015,0.002,315
347,-78.97,554.9,0.36,16.4,0.0004,10.5144,-0.4941,0.0039,0.006,324
348,-80.59,555.1,0.36,16.7,-0.0008,17.1279,-0.4838,0.0040,0.017,333
349,-78.90,555.0,0.36,16.3,-0.0002,3.2534,-0.4861,0.0027,0.006,342
350,-80.30,556.2,0.35,16.5,-0.0007,32.3505,-0.4889,0.0068,0.036,352
351,-20.64,600.0,0.00,0.0,-0.0010,0.3822,-0.4926,0.0065,0.021,71
352,-26.26,600.0,0.00,0.0,-0.0009,0.2610,-0.5017,0.0043,0.016,107
353,-100.70,600.0,0.00,17.6,-0.0005,67.7886,-0.5253,0.0056,0.013,137
354,-72.49,584.4,0.14,13.4,-0.0004,8.8827,-0.5040,0.0017,0.003,159
355,-58.22,576.8,0.24,11.0,-0.0007,5.6420,-0.5043,0.0032,0.012,169
356,-50.14,581.2,0.19,9.0,-0.0012,0.5005,-0.4994,0.0027,0.010,185
357,-47.77,583.5,0.17,8.0,-0.0018,0.4333,-0.4991,0.0064,0.033,198
358,-41.24,577.7,0.21,6.9,-0.0007,5.7804,-0.5202,0.0033,0.010,209
359,-42.44,573.7,0.22,7.3,-0.0008,11.4263,-0.5259,0.0027,0.008,221
360,-40.65,573.6,0.23,7.1,-0.0007,8.4431,-0.5346,0.0025,0.008,260
361,-40.94,566.2,0.23,6.8,-0.0013,6.6841,-0.4902,0.0026,0.013,521
