iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
68,-165.78,481.2,0.71,40.8,-0.0010,144.9766,-0.4315,0.0050,0.022,206
69,-160.76,478.6,0.72,39.6,-0.0001,45.1783,-0.4383,0.0038,0.008,215
70,-155.09,476.7,0.72,38.2,-0.0020,10.6198,-0.4297,0.0081,0.036,224
71,-148.97,477.0,0.73,39.5,-0.0000,16.5125,-0.4144,0.0030,0.007,243
72,-149.53,472.0,0.73,39.6,0.0002,156.3471,-0.4022,0.0025,0.005,252
73,-167.24,475.4,0.71,43.5,-0.0004,475.2532,-0.3645,0.0033,0.008,261
74,-164.83,475.4,0.71,42.6,-0.0002,58.7591,-0.4132,0.0038,0.008,270
75,-160.86,474.4,0.71,41.5,-0.0004,8.1721,-0.4307,0.0039,0.012,279
76,-172.33,477.5,0.69,43.8,0.0009,393.3062,-0.4424,0.0064,0.040,289
77,-165.66,475.3,0.70,42.1,-0.0015,10.6622,-0.4629,0.0049,0.025,299
78,-161.37,473.3,0.71,41.1,0.0004,63.1213,-0.4358,0.0077,0.047,308
79,-157.10,472.6,0.72,40.0,0.0001,12.5085,-0.4307,0.0063,0.026,317
80,-154.40,473.3,0.71,39.1,0.0008,22.5612,-0.4524,0.0103,0.062,326
81,-153.79,474.0,0.70,40.8,-0.0013,66.4035,-0.4490,0.0054,0.020,345
82,-150.13,474.4,0.69,39.7,-0.0008,90.1538,-0.4452,0.0027,0.008,354
83,-158.60,476.9,0.68,41.5,-0.0008,280.7102,-0.4226,0.0041,0.014,363
84,-155.71,477.8,0.68,40.6,-0.0011,11.4187,-0.4296,0.0044,0.017,373
85,-152.98,476.7,0.68,39.8,0.0001,21.3037,-0.4264,0.0065,0.036,382
86,-153.53,478.0,0.67,39.7,-0.0006,104.6440,-0.4112,0.0012,0.002,391
87,-153.57,478.8,0.67,39.6,-0.0000,88.2585,-0.4204,0.0027,0.014,400
88,-24.36,547.3,0.67,1.7,-0.0028,5.7643,-0.4117,0.0080,0.053,12
89,-164.31,577.4,0.29,31.1,-0.0004,137.0990,-0.3821,0.0008,0.000,21
90,-135.28,569.2,0.30,24.3,-0.0003,72.6772,-0.4085,0.0004,0.000,31
91,-191.74,546.0,0.36,69.5,-0.0003,109.7194,-0.3928,0.0017,0.001,55
92,-318.07,557.1,0.33,93.2,-0.0002,793.5484,-0.4676,0.0009,0.001,67
93,-265.17,555.7,0.36,76.3,-0.0005,4.6577,-0.3742,0.0008,0.002,78
94,-302.41,557.0,0.36,82.9,-0.0008,318.0319,-0.3663,0.0023,0.003,88
95,-306.57,558.9,0.38,81.9,-0.0005,196.7184,-0.3574,0.0011,0.001,98
96,-309.79,562.7,0.34,80.8,-0.0005,70.2188,-0.3348,0.0006,0.000,108
97,-278.93,560.6,0.36,72.0,-0.0014,7.0257,-0.3553,0.0048,0.018,119
98,-257.20,558.1,0.38,65.6,-0.0004,15.9690,-0.3556,0.0022,0.006,129
99,-271.92,561.1,0.35,68.5,-0.0010,137.8183,-0.3486,0.0049,0.021,138
100,-283.54,564.4,0.32,70.7,-0.0010,259.8213,-0.3715,0.0048,0.012,149
101,-271.16,557.4,0.29,75.9,-0.0005,30.1203,-0.3485,0.0020,0.006,170
102,-281.42,559.7,0.28,77.6,-0.0001,199.6739,-0.3777,0.0005,0.002,180
103,-269.28,562.5,0.26,73.2,-0.0009,7.0341,-0.3580,0.0018,0.002,190
104,-266.48,564.3,0.25,71.5,-0.0011,33.0515,-0.3643,0.0012,0.002,200
105,-263.12,566.5,0.23,69.6,-0.0015,70.5763,-0.3822,0.0032,0.010,209
106,-253.81,568.0,0.22,66.5,-0.0033,0.3361,-0.3980,0.0073,0.043,219
107,-241.47,567.8,0.25,63.0,-0.0005,9.7061,-0.4068,0.0024,0.006,228
108,-235.12,567.2,0.25,61.0,-0.0004,23.1596,-0.4114,0.0064,0.041,238
109,-230.77,565.6,0.27,59.6,0.0006,116.1152,-0.4345,0.0036,0.003,248
110,-243.35,567.3,0.25,62.0,-0.0004,225.7169,-0.4098,0.0025,0.011,258
111,-239.33,560.0,0.26,65.8,-0.0001,67.4668,-0.4335,0.0125,0.073,280
112,-246.86,561.7,0.25,67.1,-0.0001,251.5244,-0.4591,0.0029,0.002,289
113,-240.01,562.7,0.26,65.0,-0.0005,2.5541,-0.4183,0.0043,0.007,299
114,-237.40,564.2,0.24,63.6,-0.0002,35.9010,-0.4034,0.0007,0.001,309
115,-243.37,565.3,0.24,64.6,-0.0005,187.2417,-0.4183,0.0017,0.003,319
116,-241.22,566.3,0.23,63.6,-0.0009,23.8041,-0.3893,0.0006,0.001,329
